idx	char
2104	蜂
2105	蜒
2106	蜓
2107	蜕
2108	蜗
2109	蜘
2110	蜜
2111	蜡
2112	蜥
2113	蜻
2114	蜿
2115	蝇
2116	蝉
2117	蝙
2118	蝠
2119	蝪
2120	蝴
2121	蝶
2122	螂
2123	融
2124	螞
2125	蟑
2126	蟻
2127	蟾
2128	蠢
2129	血
2130	衅
2131	行
2132	衍
2133	術
2134	街
2135	衡
2136	衣
2137	补
2138	表
2139	衫
2140	衬
2141	衰
2142	衷
2143	袅
2144	袋
2145	袍
2146	被
2147	袭
2148	裁
2149	裂
2150	装
2151	裙
2152	裝
2153	裡
2154	裤
2155	裹
2156	褆
2157	褐
2158	褪
2159	西
2160	要
2161	覆
2162	親
2163	见
2164	观
2165	规
2166	视
2167	览
2168	觉
2169	角
2170	解
2171	言
2172	記
2173	註
2174	詭
2175	該
2176	誉
2177	誌
2178	誓
2179	說
2180	誰
2181	警
2182	讓
2183	计
2184	认
2185	讨
2186	让
2187	训
2188	议
2189	讯
2190	记
2191	讲
2192	讶
2193	许
2194	论
2195	讽
2196	访
2197	诀
2198	证
2199	诅
2200	识
2201	诉
2202	词
2203	译
2204	试
2205	诗
2206	诚
2207	话
2208	诞
2209	该
2210	详
2211	诬
2212	语
2213	误
2214	诱
2215	说
2216	诶
2217	请
2218	诸
2219	诺
2220	读
2221	课
2222	谁
2223	调
2224	谅
2225	谈
2226	谋
2227	谎
2228	谓
2229	谢
2230	谣
2231	谦
2232	谱
2233	谷
2234	豆
2235	象
2236	豪
2237	豫
2238	貌
2239	貍
2240	買
2241	贝
2242	负
2243	责
2244	败
2245	质
2246	贪
2247	贴
2248	贵
2249	费
2250	贼
2251	资
2252	赌
2253	赏
2254	赖
2255	赚
2256	赛
2257	赞
2258	赢
2259	赤
2260	走
2261	赶
2262	起
2263	趁
2264	超
2265	越
2266	趕
2267	趣
2268	足
2269	跃
2270	跌
2271	跑
2272	距
2273	跟
2274	跡
2275	跨
2276	路
2277	跳
2278	踏
2279	踞
2280	踢
2281	踩
2282	踪
2283	踱
2284	蹄
2285	蹈
2286	蹙
2287	蹲
2288	蹺
2289	身
2290	躬
2291	躯
2292	躲
2293	躺
2294	軍
2295	輕
2296	轉
2297	车
2298	轨
2299	转
2300	轮
2301	软
2302	轱
2303	轻
2304	载
2305	较
2306	辈
2307	辑
2308	输
2309	辗
2310	辘
2311	辛
2312	辨
2313	边
2314	达
2315	迁
2316	迂
2317	过
2318	迈
2319	迎
2320	运
2321	近
2322	返
2323	还
2324	这
2325	进
2326	远
2327	违
2328	连
2329	迫
2330	迭
2331	述
2332	迷
2333	迹
2334	追
2335	退
2336	送
2337	适
2338	逃
2339	逅
2340	逆
2341	选
2342	透
2343	逐
2344	递
2345	逗
2346	這
2347	通
2348	逛
2349	逝
2350	速
2351	造
2352	連
2353	逸
2354	逼
2355	遁
2356	遇
2357	遍
2358	過
2359	遐
2360	道
2361	遗
2362	遥
2363	遮
2364	避
2365	邀
2366	邂
2367	還
2368	邊
2369	那
2370	邦
2371	邪
2372	邮
2373	邻
2374	郁
2375	郊
2376	郎
2377	部
2378	都
2379	酋
2380	配
2381	酒
2382	酝
2383	酱
2384	酵
2385	酷
2386	酸
2387	酿
2388	醇
2389	醉
2390	醒
2391	醺
2392	采
2393	釉
2394	释
2395	里
2396	重
2397	野
2398	量
2399	金
2400	針
2401	鈔
2402	鋼
2403	鍵
2404	鐘
2405	针
2406	钓
2407	钟
2408	钢
2409	钥
2410	钨
2411	钩
2412	钮
2413	钱
2414	钻
2415	铁
2416	铃
2417	铅
2418	铜
2419	铩
2420	铭
2421	银
2422	铺
2423	销
2424	锁
2425	锈
2426	锋
2427	锐
2428	错
2429	锥
2430	锦
2431	键
2432	镇
2433	镜
2434	长
2435	門
2436	閉
2437	開
